Date,Product,Region,Marketing_Spend,Discount,Holiday,Units_Sold,Doctor_Promotions,Online_Ads_Clicks,Competitor_Price,Shelf_Space,Temperature,Humidity
2020-01-01,RednessReliefQ,East,1254,0.13047871296288600,0,79,38,416,13.59,1.8515225857904500,34.4801874757697,55.67086968048010
2020-01-02,AntiAllergyZ,South,1269,0.08029152448008290,0,78,28,734,13.27,1.737220578187880,24.379203962665900,63.08489079657770
2020-01-03,AntiAllergyZ,North,1738,0.1383698068955470,0,97,14,108,10.45,1.6371045112092200,23.02405083484470,68.09670112601460
2020-01-04,RednessReliefQ,South,1333,0.20413839415204700,0,126,42,873,10.62,0.6183541437270840,29.850185368319,65.36367780319360
2020-01-05,RednessReliefQ,East,665,0.10280256921437900,0,84,7,172,13.65,1.7656052213230100,20.545387039775700,79.38577477493470
2020-01-06,RednessReliefQ,North,1755,0.05107970843673550,1,128,20,458,11.5,2.0378400891423400,28.596254915276700,45.53061375507480
2020-01-07,AntiAllergyZ,South,1718,0.1837009802301970,0,107,38,322,13.25,2.488163309291150,32.0258502779768,57.189480357191100
2020-01-08,RednessReliefQ,East,1005,0.24452532088651100,0,86,18,515,9.46,0.5221571051886190,23.793286137985000,56.99322946573250
2020-01-09,RednessReliefQ,South,1857,0.1713653127177170,0,74,22,652,14.04,1.9603469066213500,35.26420806539940,56.682128148116800
2020-01-10,LubricantX,East,1292,0.07398437178542600,1,79,10,469,13.12,1.643578631871960,28.221457631306300,66.55193568170670
2020-01-11,LubricantX,East,1827,0.11414661846893500,0,98,10,815,14.4,1.3681043521619100,28.283471298322100,59.5931224218689
2020-01-12,AntiAllergyZ,North,1332,0.22352832294404500,0,109,23,363,9.36,0.7551403491427420,31.82932667593000,60.69730239251850
2020-01-13,RednessReliefQ,East,1960,0.09651361485136570,0,140,35,939,12.35,1.3181702972697500,33.15367477318190,57.294239685870600
2020-01-14,RednessReliefQ,South,1846,0.17153918069952200,0,130,39,789,12.39,1.2087543659722700,26.3091949320319,79.6679784407425
2020-01-15,LubricantX,East,1357,0.13053424165080000,1,98,23,959,10.8,1.1056597779574800,28.98452720688470,77.10245395276170
2020-01-16,AntiAllergyZ,East,1916,0.0915687442839298,0,124,2,417,11.48,1.9617592466444200,31.98170746580460,52.30896757457480
2020-01-17,LubricantX,North,1305,0.21268137871293600,0,150,21,183,8.75,1.9014510425685300,19.190944618192800,44.46375699066670
2020-01-18,LubricantX,East,1672,0.19856625529313800,1,156,1,417,13.35,1.6780401819618200,16.35248800183680,73.59058896154410
2020-01-19,LubricantX,East,1260,0.1823182131918530,0,113,23,210,12.07,2.3773296265867400,24.712230397970500,79.88681005702900
2020-01-20,LubricantX,South,1332,0.09726731805375030,0,139,43,350,8.88,1.199708768361710,16.232543212903100,51.704355761585800
2020-01-21,RednessReliefQ,North,1928,0.06957140054329000,1,149,29,482,12.92,0.9876038754203590,23.43002451846020,54.31139703367070
2020-01-22,RednessReliefQ,North,782,0.16523186596519300,0,92,37,106,11.53,1.811806626196800,26.571867670995700,77.66532725940810
2020-01-23,LubricantX,North,1885,0.1607355667078870,0,113,1,558,8.72,0.8976281218748060,23.621806169724400,68.4451807201236
2020-01-24,AntiAllergyZ,East,878,0.08767700186697460,1,169,20,183,14.8,1.1300210143668500,24.292034759481500,51.82553327118550
2020-01-25,AntiAllergyZ,North,697,0.0612493388630345,0,119,32,307,14.67,0.9492048801497700,19.991667431895400,63.241859651356600
2020-01-26,AntiAllergyZ,East,1514,0.0661416908387972,0,68,11,999,11.83,0.6383071354370030,28.94071771985470,77.76918317457020
2020-01-27,AntiAllergyZ,East,1523,0.24855419730254700,0,125,21,489,9.11,2.1549974832713500,19.6826831643883,72.47252427783110
2020-01-28,LubricantX,South,1055,0.20671677894857700,0,151,43,413,13.41,1.0090810858433200,14.485491344724800,69.67330854914640
2020-01-29,RednessReliefQ,South,855,0.23439749519303500,0,129,24,121,11.7,1.4460550066860400,23.963306137333900,69.4798524690809
2020-01-30,AntiAllergyZ,South,1952,0.08901094444727270,0,144,48,509,10.47,0.5866305465086240,29.57509962459980,47.12081297169080
2020-01-31,LubricantX,South,1540,0.242113707264687,0,150,26,994,11.69,1.8986789325052900,25.399153959414900,72.98724956911750
2020-02-01,AntiAllergyZ,South,1138,0.07853087029463240,0,125,41,614,11.9,1.1611220046125800,19.176014924598800,51.044745297738300
2020-02-02,AntiAllergyZ,East,878,0.1518163657132940,0,122,27,226,12.16,1.98947345565842,25.509754837031700,77.21466631606120
2020-02-03,LubricantX,East,1179,0.21593913688341300,0,137,15,908,11.37,1.3248061209357300,27.19151852384180,54.58559964055130
2020-02-04,RednessReliefQ,North,1005,0.11996067090231600,0,138,14,799,12.44,0.8915112128112490,25.45158345759460,74.30641588169030
2020-02-05,RednessReliefQ,East,1398,0.1349657066353800,0,137,46,973,14.47,1.5263501645640700,23.67707876555710,50.649339780712100
2020-02-06,LubricantX,East,575,0.07563702205981960,0,138,43,113,10.85,0.7610091192748800,27.430193408213700,60.58107746328960
2020-02-07,RednessReliefQ,South,730,0.07458437599979460,0,122,2,111,13.22,1.3810783197459900,16.307865485899300,44.27541181956240
2020-02-08,LubricantX,East,1461,0.17391364495573200,0,153,36,186,14.31,1.134610954840970,20.530223046187100,66.40475611984700
2020-02-09,LubricantX,South,1771,0.18510647372401100,0,151,6,623,11.46,2.323919168399270,18.47395951097350,73.44317100667350
2020-02-10,LubricantX,North,801,0.2054665028164390,0,113,20,636,11.38,0.6218574434414400,31.741931859940800,68.73789125209670
2020-02-11,RednessReliefQ,North,1225,0.16133641053635100,0,133,8,400,12.41,1.888034828211480,28.56015860494190,60.93034051754630
2020-02-12,LubricantX,East,714,0.17915185845226100,0,143,38,342,12.34,0.8655023319748720,25.92562517157010,41.80463514405840
